Sanchez Jose Vicente,8.10.56,FC Barcelona
Zoff Dino,28.02.42,Juventus
Galli Giovanni,29.04.58,Fiorentina
Gentile Claudio,27.09.53,Juventus
Marini Giampiero,25.02.51,Inter
Alesanco Jose Ramon,19.05.56,FC Barcelona
Saura Enrique,2.08.54,Valencia CF
Matysik Waldemar,27.09.61,KS Gornik Zabrze
Buncol Andrzej,21.09.59,CWKS Legia Warszawa
Diaz Ramon Angel,29.08.59,River Plate
Kasimierski Jacek,17.08.59,CWKS Legia Warszawa
Conti Bruno,13.03.55,Roma AS
Olarticoechea Julio Jorge,18.10.58,River Plate
Altobelli Alessandro,28.11.55,Inter
Lato Grzegorz,8.04.50,Lokeren
Dolny Tadeusz,7.05.58,KS Gornik Zabrze
Pumpido Nery Alberto,30.07.57,Velez Sarsfield
Olguin Jorge Mario,17.05.52,Independiente
Gallego Ricardo,8.02.59,Real Madrid CF
Bordon Ivano,13.04.51,Inter
Antognoni Giancarlo,1.04.54,Fiorentina
Calderon Gabriel Humberto,7.02.60,Independiente
Gallego Americo Ruben,25.04.55,River Plate
Smolarek Wlodzimierz,16.07.57,RTS Widzew Lodi
Tarantini Alberto Cesar,3.12.55,River Plate
Jimenez Manuel Enrique,27.10.56,Real Sporting
Gordillo Rafael,24.02.57,Real Betis B.
CabriniAntonio,8.10.57,Juventus
Tardelli Marco,24.09.54,Juventus
Boniek Zbigniew,3.03.56,FITS Widzew Lodi
Mowlik Piotr,21.04.51,KKS Lech Poznan
Arconada Luis Miguel,26.06.54,Real Sociedad
Mlynarczyk ,6zef 20.09.53,Widzew Lodi
Fillol Ubaldo Matildo,21.07.50,River Plate
Dziuba Marek,19.12.55,LKS Lodi
Maceda Antonio,16.05.57,Real Sporting
Tendillo Miguel,1.02.61,Valencia CF
Alonso Carlos,23.08.52,Real Madrid CF
Satrustegui Jesús Maria,12.02.54,Real Sociedad
Barbas Juan Alberto,23.08.59,Racing Club
Ardiles Osvaldo Cesar,3.08.52,Tottenham Hostpur
Alonso Miguel Angel,1.02.53,Real Sociedad
Passarella Daniel Alberto,25.05.53,River Plate
Maradona Diego Armando,30.10.60,Boca Juniors
Valdano Jorge Alberto F.,4.10.55,Real Zaragoza
Oriali Gabriele,25.11.52,Inter
Rossi Paolo,23.09.56,Juventus
Trossero Enzo Hector,23.05.53,Independiente
Kupcewicz Janusz,9.12.55,MKS Arka Gdynia
Gonzalez Francisco Javier,17.11.52,FC Barcelona
Van Tuyne Jose Daniel,13.12.54,Racing Club
Castro Enrique,23.09.49,FC Barcelona
Dossena Giuseppe,2.05.58,Torino AC
Wojcicki Roman,8.01.58,WKS Slas Wroclaw
Palasz Andrzej,22.07.60,KS Gornik Zabrze
Bertoni Ricardo Daniel,14.03.55,Fiorentina
Causio Franco,1.02.49,Udinese
Kusto Marek,29.04.54,CWKS Legia Warszawa
Alonso Joaquin,9.06.56,Real Sporting
Uralde Pedro,2.03.58,Real Sociedad
Janas Pawel,4.03.53,CWKS Legia Warszawa
Szarmach Andrzej,3.10.50,A.J. Auxerre
Ciolek Wlodzimierz,24.03.56,FKS Stal Mielec
Baresi Franchino,8.05.60,Milan
Selvaggi Francesco,15.05.53,Cagliari
Camacho Jose Antonio,8.06.55,Real Madrid CF
Scirea Gaetano,25.05.53,Juventus
Iwan Andrzej,10.11.59,GTS Wisla Krakow
Collovati Fulvio,9.05.57,Milan
Jalocha Jan,18.08.57,GTS Wisla Krakow
Galvan Luis Adolfo,24.02.48,Talleres
Urquiaga Santiago,18.04.58,Athletic Club
Baley Hector Rodolfo,16.11.50,Talleres
Graziani Francesco,12.12.52,Fiorentina
Majewski Stefan,31.01.56,CWKS Legia Warszawa
Gonzalez Miguel Angel,24.12.47,Real Madrid CF
Gomez Juan,10.11.54,Real Madrid CF
Bergomi Giuseppe,22.12.63,Inter
Kempes Mario Alberto,15.07.54,River Plate
Zamora Jesús Maria,1.01.55,Real Sociedad
Santamaria Santiago,22.08.52,Newell's Old Boys
Skrobowski Piotr,16.10.61,GTS Wisla Krakow
Vierchowod Pietro,6.04.59,Fiorentina
Valencia Jose Daniel,3.10.55,Talleres
Massaro Daniele,23.05.61,Fiorentina
Zmuda Wladyslaw,6.06.54,FITS Widzew Lodi
Hernandez Patricio Jose,16.08.56,Estudiantes
Lopez Ufarte Roberto,19.04.58,Real Sociedad
